,Date,Open,High,Low,Close,Adj Close,Volume,ticker,stock_name,team_rank,presentation_date,projection_date,presentation_year,reported_presentation_day_price,estimate_df,presentation_day,projection_day,first_day_price,price_ratio
0,2019-04-30,22.483755111694336,22.60649871826172,22.231046676635742,22.440433502197266,21.064531326293945,4840298.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,1,1,0,22.440433502197266,1.0
1,2019-05-01,22.548736572265625,22.592058181762695,22.231046676635742,22.25992774963379,20.895097732543945,3625930.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,0.9919562270245001
2,2019-05-02,22.267147064208984,22.527076721191406,22.04332160949707,22.180505752563477,20.820539474487305,2943125.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,0.9884169907141794
3,2019-05-03,22.324909210205078,22.577617645263672,22.202165603637695,22.51263427734375,21.132308959960938,6021703.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,1.0032174411933448
4,2019-05-06,22.036100387573242,22.657039642333984,22.036100387573242,22.60649871826172,21.220415115356445,5229622.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,1.007400267737617
5,2019-05-07,19.299638748168945,21.335739135742188,18.40433120727539,21.321300506591797,20.014020919799805,23978782.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,0.9501287265463972
6,2019-05-08,21.191335678100586,22.310468673706055,21.068592071533203,22.014440536499023,20.664657592773438,9293627.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,0.9810167229765623
7,2019-05-09,21.69675064086914,22.938627243041992,21.429603576660156,22.635379791259766,21.24753189086914,9598881.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,1.0086872782133827
8,2019-05-10,22.49819564819336,22.960289001464844,22.21660614013672,22.613718032836914,21.227191925048828,7078181.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,1.007721977858524
9,2019-05-13,22.101083755493164,22.613718032836914,21.812274932861328,22.527076721191406,21.14586639404297,6187626.0,ARMK,Aramark,2.0,2019-04-30,2022-04-30,2019,31.0,0,0,0,22.440433502197266,1.0038610314272964
