Symbol,Company,Current Price,Price Change,Date,Percent of Shares,Buyback Amount,Offer Type,Buyback Type,52-Week Low,52-Week High,Indicator(s)
ALKS,Alkermes,$28.91,-0.90%,2/15/2024,8.20%,$400 million,Open Market,New,$22.01,$33.71,Earnings Report - Analyst Downgrade - Analyst Revision - 
NVR,NVR,"$7,533.28",1.80%,2/14/2024,3.10%,$750 million,Open Market,,"$5,021.73","$7,617.24",Insider Selling - Analyst Revision - News Coverage - 
IPGP,IPG Photonics,$86.54,0.10%,2/13/2024,7.30%,$300 million,Open Market,New,$83.00,$141.85,
PFG,Principal Financial Group,$80.34,0.90%,2/12/2024,7.90%,$1.50 billion,Open Market,New,$65.17,$91.57,Positive News - 
SPG,Simon Property Group,$151.51,0.80%,2/8/2024,4.20%,$2 billion,Open Market,New,$100.17,$153.11,Positive News - 
KMT,Kennametal,$24.11,1.90%,2/7/2024,10.60%,$200 million,Open Market,Additional,$22.08,$30.60,Positive News - 
CDW,CDW,$247.56,2.60%,2/7/2024,2.40%,$750 million,Open Market,,$160.66,$248.08,Dividend Announcement - 
MO,Altria Group,$40.90,1.10%,2/1/2024,1.40%,$1 billion,Open Market,New,$39.06,$48.04,Positive News - 
AEO,American Eagle Outfitters,$22.96,2.30%,2/1/2024,,30.00 million shs,Open Market,,$9.95,$23.17,Gap Down - 
PHM,PulteGroup,$104.68,1.00%,1/30/2024,6.50%,$1.50 billion,Open Market,,$52.24,$110.75,Analyst Downgrade - Options Volume - Analyst Revision - News Coverage - 
HCA,HCA Healthcare,$312.84,0.40%,1/30/2024,7.40%,$6 billion,Open Market,Additional,$215.96,$318.30,
SLM,SLM,$19.69,-0.40%,1/24/2024,14.50%,$650 million,Open Market,New,$10.81,$20.65,
URI,United Rentals,$658.80,2.20%,1/24/2024,3.80%,$1.50 billion,Open Market,New,$325.15,$673.68,Analyst Report - 
FHN,First Horizon,$14.03,-0.10%,1/23/2024,7.70%,$650 million,Open Market,,$8.99,$24.90,Positive News - 
